frame,t_seconds,ear,state,closed_frames
0,0.000,0.1494,awake,1
1,0.033,0.1498,awake,2
2,0.067,0.1505,awake,3
3,0.100,0.3042,awake,0
4,0.133,0.3014,awake,0
5,0.167,0.2963,awake,0
6,0.200,0.3041,awake,0
7,0.233,0.3022,awake,0
8,0.267,0.3028,awake,0
9,0.300,0.3046,awake,0
10,0.333,0.3056,awake,0
11,0.367,0.3097,awake,0
12,0.400,0.3082,awake,0
13,0.433,0.3064,awake,0
14,0.467,0.3035,awake,0
15,0.500,0.3028,awake,0
16,0.533,0.3083,awake,0
17,0.567,0.3130,awake,0
18,0.600,0.3083,awake,0
19,0.633,0.3082,awake,0
20,0.667,0.3111,awake,0
21,0.700,0.3036,awake,0
22,0.733,0.3086,awake,0
23,0.767,0.3122,awake,0
24,0.800,0.3141,awake,0
25,0.833,0.3101,awake,0
26,0.867,0.3129,awake,0
27,0.900,0.3128,awake,0
28,0.933,0.3153,awake,0
29,0.967,0.3081,awake,0
30,1.000,0.3152,awake,0
31,1.033,0.3072,awake,0
32,1.067,0.3031,awake,0
33,1.100,0.3115,awake,0
34,1.133,0.3106,awake,0
35,1.167,0.3181,awake,0
36,1.200,0.3175,awake,0
37,1.233,0.3103,awake,0
38,1.267,0.3189,awake,0
39,1.300,0.3118,awake,0
40,1.333,0.3157,awake,0
41,1.367,0.3152,awake,0
42,1.400,0.3171,awake,0
43,1.433,0.3201,awake,0
44,1.467,0.3197,awake,0
45,1.500,0.3187,awake,0
46,1.533,0.3202,awake,0
47,1.567,0.3197,awake,0
48,1.600,0.3155,awake,0
49,1.633,0.3153,awake,0
50,1.667,0.3165,awake,0
51,1.700,0.3206,awake,0
52,1.733,0.3177,awake,0
53,1.767,0.3282,awake,0
54,1.800,0.3158,awake,0
55,1.833,0.3148,awake,0
56,1.867,0.3224,awake,0
57,1.900,0.3251,awake,0
58,1.933,0.3216,awake,0
59,1.967,0.3230,awake,0
60,2.000,0.3254,awake,0
61,2.033,0.3194,awake,0
62,2.067,0.3142,awake,0
63,2.100,0.3178,awake,0
64,2.133,0.3238,awake,0
65,2.167,0.3142,awake,0
66,2.200,0.3201,awake,0
67,2.233,0.3210,awake,0
68,2.267,0.3187,awake,0
69,2.300,0.3229,awake,0
70,2.333,0.3223,awake,0
71,2.367,0.3292,awake,0
72,2.400,0.3224,awake,0
73,2.433,0.3174,awake,0
74,2.467,0.3175,awake,0
75,2.500,0.3164,awake,0
76,2.533,0.3234,awake,0
77,2.567,0.3172,awake,0
78,2.600,0.3191,awake,0
79,2.633,0.3223,awake,0
80,2.667,0.3162,awake,0
81,2.700,0.3178,awake,0
82,2.733,0.3115,awake,0
83,2.767,0.3143,awake,0
84,2.800,0.3162,awake,0
85,2.833,0.3200,awake,0
86,2.867,0.3229,awake,0
87,2.900,0.3179,awake,0
88,2.933,0.3188,awake,0
89,2.967,0.3182,awake,0
90,3.000,0.1716,awake,1
91,3.033,0.1706,awake,2
92,3.067,0.1679,awake,3
93,3.100,0.3125,awake,0
94,3.133,0.3199,awake,0
95,3.167,0.3175,awake,0
96,3.200,0.3206,awake,0
97,3.233,0.3153,awake,0
98,3.267,0.3229,awake,0
99,3.300,0.3133,awake,0
100,3.333,0.3208,awake,0
101,3.367,0.3146,awake,0
102,3.400,0.3117,awake,0
103,3.433,0.3089,awake,0
104,3.467,0.3125,awake,0
105,3.500,0.3184,awake,0
106,3.533,0.3157,awake,0
107,3.567,0.3148,awake,0
108,3.600,0.3021,awake,0
109,3.633,0.3141,awake,0
110,3.667,0.3131,awake,0
111,3.700,0.3083,awake,0
112,3.733,0.3076,awake,0
113,3.767,0.3097,awake,0
114,3.800,0.3162,awake,0
115,3.833,0.3046,awake,0
116,3.867,0.3067,awake,0
117,3.900,0.3134,awake,0
118,3.933,0.3058,awake,0
119,3.967,0.3057,awake,0
120,4.000,0.3071,awake,0
121,4.033,0.3013,awake,0
122,4.067,0.3067,awake,0
123,4.100,0.3005,awake,0
124,4.133,0.3085,awake,0
125,4.167,0.3045,awake,0
126,4.200,0.3131,awake,0
127,4.233,0.3047,awake,0
128,4.267,0.3085,awake,0
129,4.300,0.2974,awake,0
